---,Enemy,Allowed Wave,Health,Damage,Soul,Elite?,Scale HP to level?,MoveSpeed,SoulAmount
Runner,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',0,5,6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,300,25
Runner_0,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',0,5,6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,305,26
Runner_1,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',0,5,6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,310,27
Runner_2,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',0,5,6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,315,28
Runner_3,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',0,5,6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,320,29
Runner_4,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',1,7,8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,325,30
Runner_5,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',1,7,8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,330,31
Runner_6,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',1,7,8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,335,32
Runner_7,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',1,7,8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,340,33
Runner_8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',1,7,8,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,345,34
Runner_9,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',2,10,11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,350,35
Runner_10,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',2,10,11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,355,36
Runner_11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',2,10,11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,360,37
Runner_12,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Base_Enemy.BP_Base_Enemy_C',2,10,11,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,365,38
Spike,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',3,15,14,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,370,39
Spike_0,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',3,15,14,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,375,40
Spike_1,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',3,15,14,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,380,41
Spike_2,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',3,15,14,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,FALSE,385,42
Spike_3,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',4,25,17,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,390,43
Spike_4,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/Enemies/BP_Enemy_Spiker.BP_Enemy_Spiker_C',4,25,17,/Script/Engine.BlueprintGeneratedClass'/Game/SurvivorsTemplate/Blueprints/GameplayActors/BP_Soul.BP_Soul_C',FALSE,TRUE,395,44
